,TCGA.A1.A0SK.01A,TCGA.A1.A0SM.01A,TCGA.A2.A04P.01A,TCGA.A2.A04Q.01A,TCGA.A2.A04R.01A,TCGA.A2.A0CM.01A,TCGA.A2.A0D0.01A,TCGA.A2.A0D2.01A,TCGA.A2.A0D4.01A,TCGA.A2.A0ER.01A,TCGA.A2.A0EY.01A,TCGA.A2.A0ST.01A,TCGA.A2.A0SV.01A,TCGA.A2.A0SX.01A,TCGA.A2.A0T2.01A,TCGA.A2.A0T3.01A,TCGA.A2.A0T4.01A,TCGA.A2.A0YG.01A,TCGA.A2.A0YH.01A,TCGA.A2.A0YM.01A,TCGA.A7.A0CE.01A,TCGA.A7.A0CJ.01A,TCGA.A7.A0DA.01A,TCGA.A8.A06N.01A,TCGA.A8.A06O.01A,TCGA.A8.A06Z.01A,TCGA.A8.A07O.01A,TCGA.A8.A07U.01A,TCGA.A8.A07W.01A,TCGA.A8.A082.01A,TCGA.A8.A085.01A,TCGA.A8.A08G.01A,TCGA.A8.A08H.01A,TCGA.A8.A08I.01A,TCGA.A8.A08R.01A,TCGA.A8.A096.01A,TCGA.A8.A097.01A,TCGA.A8.A09C.01A,TCGA.A8.A09D.01A,TCGA.A8.A09I.01A,TCGA.A8.A09M.01A,TCGA.A8.A09N.01A,TCGA.A8.A09Q.01A,TCGA.A8.A09R.01A,TCGA.A8.A0A9.01A,TCGA.AN.A03Y.01A,TCGA.AN.A041.01A,TCGA.AN.A049.01A,TCGA.AN.A04D.01A,TCGA.AN.A0AJ.01A,TCGA.AN.A0AL.01A,TCGA.AN.A0AM.01A,TCGA.AN.A0FF.01A,TCGA.AN.A0FJ.01A,TCGA.AN.A0FK.01A,TCGA.AN.A0FX.01A,TCGA.AN.A0FY.01A,TCGA.AN.A0XR.01A,TCGA.AN.A0XW.01A,TCGA.AO.A03O.01A,TCGA.AO.A0J3.01A,TCGA.AO.A0J4.01A,TCGA.AO.A0J6.01A,TCGA.AO.A0J7.01A,TCGA.AO.A0JD.01A,TCGA.AO.A0JI.01A,TCGA.AO.A0JL.01A,TCGA.AO.A124.01A,TCGA.AO.A129.01A,TCGA.AO.A12B.01A,TCGA.AO.A12F.01A,TCGA.AQ.A04H.01B,TCGA.AQ.A04J.01A,TCGA.AR.A0TS.01A,TCGA.AR.A0TT.01A,TCGA.AR.A0TY.01A,TCGA.AR.A0TZ.01A,TCGA.AR.A0U1.01A,TCGA.AR.A0U2.01A,TCGA.AR.A0U3.01A,TCGA.AR.A1AH.01A,TCGA.AR.A1AI.01A,TCGA.AR.A1AJ.01A,TCGA.AR.A1AQ.01A,TCGA.AR.A1AR.01A,TCGA.AR.A1AV.01A,TCGA.AR.A1AY.01A,TCGA.B6.A0I2.01A,TCGA.B6.A0IC.01A,TCGA.B6.A0IJ.01A,TCGA.B6.A0IQ.01A,TCGA.B6.A0RT.01A,TCGA.B6.A0RU.01A,TCGA.B6.A0WV.01A,TCGA.B6.A0WW.01A,TCGA.B6.A0WX.01A,TCGA.B6.A0X5.01A,TCGA.BH.A0AU.01A,TCGA.BH.A0AY.01A,TCGA.BH.A0B3.01A,TCGA.BH.A0B5.01A,TCGA.BH.A0B9.01A,TCGA.BH.A0BD.01A,TCGA.BH.A0BF.01A,TCGA.BH.A0BW.01A,TCGA.BH.A0BZ.01A,TCGA.BH.A0C0.01A,TCGA.BH.A0DL.01A,TCGA.BH.A0E0.01A,TCGA.BH.A0H0.01A,TCGA.BH.A0HU.01A,TCGA.BH.A0HW.01A,TCGA.BH.A0RX.01A,TCGA.BH.A0W3.01A,TCGA.BH.A0WA.01A,TCGA.BH.A18F.01A,TCGA.BH.A18J.01A,TCGA.BH.A18K.01A,TCGA.BH.A18L.01A,TCGA.BH.A18Q.01A,TCGA.BH.A18U.01A,TCGA.BH.A18V.01A,TCGA.BH.A1EW.01A,TCGA.BH.A1F0.01A,TCGA.C8.A12K.01A,TCGA.C8.A12W.01A,TCGA.C8.A12X.01A,TCGA.C8.A131.01A,TCGA.C8.A134.01A,TCGA.C8.A1HL.01A,TCGA.C8.A1HM.01A,TCGA.D8.A142.01A,TCGA.D8.A147.01A,TCGA.E2.A10A.01A,TCGA.E2.A10C.01A,TCGA.E2.A14N.01A,TCGA.E2.A14O.01A,TCGA.E2.A14R.01A,TCGA.E2.A14S.01A,TCGA.E2.A14X.01A,TCGA.E2.A14Y.01A,TCGA.E2.A150.01A,TCGA.E2.A158.01A,TCGA.E2.A159.01A,TCGA.E2.A15M.01A
ELMO2,1.125417,1.379833,-1.234667,-0.740583,-0.538917,-0.166,0.535333,-0.64775,-0.556833,-0.030667000000000007,-0.151,-0.30175,0.273,0.803917,0.106417,-0.2445,-0.115583,0.398,0.839333,-0.703917,-1.248083,-0.488333,0.207083,0.305333,0.037917,-0.71825,-0.771667,0.055083000000000014,0.582167,0.688667,-0.18600000000000005,1.3955,-0.7128329999999999,0.6655,0.162667,0.031167,-0.1485,-0.6155,-0.32625,1.0005,0.149417,1.206833,0.266417,1.0625,0.52825,0.402167,0.116583,-0.279583,0.08199999999999999,0.38675,-0.608667,0.377083,-0.240583,-0.535667,0.13475,-0.46975,1.277583,-0.39425,0.383917,0.884833,0.221,-0.05425,-0.09725,-0.302583,0.05325,0.139417,-0.56725,-1.085667,-0.65525,-0.521583,-0.832833,1.38575,-0.217417,-0.2745,0.103,-0.520083,1.244583,-0.89725,0.620167,0.255083,-0.420167,-0.96425,0.138667,-0.04675,-0.8750829999999999,0.110083,0.1715,-0.17416700000000002,-0.108583,0.300083,-1.372083,0.7188329999999999,-0.06975,0.8205,0.17725,-0.531583,0.02475,0.327833,-0.019167,-0.362167,-0.28775,-0.333583,0.16608299999999998,0.93675,0.567917,1.424667,0.32025,-0.73875,-0.402833,0.591,-0.405,0.152167,-0.376917,-0.347167,-0.068833,0.441583,0.0175,0.13333299999999998,0.314833,0.15375,1.21525,-0.263333,0.3975,-0.577167,-0.709083,0.07925,0.65175,-0.575,-0.062166999999999986,0.286083,0.620917,0.604583,0.2015,0.040667,-0.529917,-1.21175,-0.014083000000000004,-1.361583,0.8315,0.517083,-0.20025,0.054583000000000007,-0.9005,0.169167,0.631833
CREB3L1,-1.528,1.68925,0.07575,-0.65325,0.06775,-0.5835,-1.14075,-0.71925,0.26875,0.59,0.59625,0.924,0.398,-0.527,-0.13025,0.927,0.3915,0.66225,-0.23825,-1.0425,-1.5,-0.60175,-0.26875,-1.31575,-0.82525,-1.58375,-0.735,0.06725,-0.3805,0.095,-0.278,-0.256,0.5005,-1.781,-0.726,1.2325,-0.19425,-0.4165,0.4920000000000001,1.01675,-0.93425,0.3885,-0.58425,-0.1375,0.19075,-0.89425,0.289,-0.0165,-1.38375,0.22875,-0.298,-0.0695,0.39475,-1.1435,1.17875,-0.49825,-0.1645,0.4335,0.6515,0.27125,-0.68925,-0.88525,-0.20575,-0.1955,-1.39475,-1.3065,0.318,-1.38525,-0.2575,0.8165,-0.5920000000000001,-1.3275,-0.7565,-1.44675,-0.54625,-0.63075,0.30475,0.0085,0.53625,1.0659999999999998,-1.02025,-0.703,-0.64275,-0.78325,-0.28,-0.5895,-0.1365,0.3675,-0.4885,-0.7765,-1.29225,-0.745,-0.34375,-0.6345,0.08525,0.3805,1.10625,0.05725,0.42625,-0.22425,-0.12425,-0.82575,-0.0705,0.511,-1.009,0.16375,-0.35675,-0.5225,0.39975,-1.17125,-0.25825,-1.8595,-0.3735,0.13025,-0.863,0.60425,0.62525,-0.172,0.0175,-1.711,-0.341,-0.742,-0.7445,-0.56975,-0.9425,-0.2485,0.4235,0.24875,-1.38575,1.74225,-0.675,-0.62425,-1.2535,1.0405,1.13025,-0.85325,0.12575,-1.20875,-1.3265,-1.50875,-0.35925,-0.387,-1.18725,-0.41425,0.7095
RPS11,0.08275,-0.935125,-0.00925,-0.017,0.506375,-0.1245,-0.79125,1.054625,-0.352875,-0.2145,-0.128875,0.594375,-0.65725,-0.877875,-0.061,0.809,-0.166375,-0.381875,-0.290625,-0.45725,-0.478,-0.0625,-0.93825,-0.21925,0.24125,-0.8059999999999999,-0.76925,-0.38875,-0.46925,-0.32125,0.2785,-1.021375,0.36075,-0.32725,-0.961,0.30775,-0.001875,0.072375,0.31225,-0.3265,-0.202,-0.79725,0.67025,-0.345875,0.129125,-0.506,-0.7959999999999999,-0.278375,-0.247,-0.19525,-0.484,0.253625,-0.390125,0.73775,-0.006875,0.73075,0.72025,0.3305,0.2225,0.17275,-0.74425,0.335625,-0.296375,0.466875,0.30375,0.42875,0.050375,0.450625,0.077125,0.815625,0.63975,-1.084875,-0.11575,0.435125,-0.250125,0.586,-0.767375,-0.014875,-0.783625,-0.6555,0.537625,0.13375,-0.34075,0.00725,0.532875,0.10225,-1.436,0.374375,0.005875,-0.141625,0.703375,-0.16825,0.6215,-0.206125,-0.64875,-0.325375,0.3035,-0.11325,-0.26175,-0.104125,0.389625,0.69025,-0.130375,0.247125,-0.70925,-0.187,-0.662625,-0.47075,0.567375,0.247875,0.370125,0.48075,-0.043125,0.026125,-0.495,-0.18425,-0.036625,-1.032625,0.07375,0.211125,-0.0975,-0.699375,0.17275,0.43025,0.197125,0.308625,-0.448875,0.481875,-0.52975,-0.174125,1.018875,-0.5285,0.23875,-0.4325,-0.063,-0.2935,-0.142625,0.06725,0.078875,-0.435,0.512125,-0.24375,1.327,-1.101875,0.5165
PNMA1,0.85075,0.54925,-1.81875,-0.1695,1.079,0.05625,-1.00525,-0.35775,-0.1005,0.9285,-0.55725,-0.38375,-0.41325,0.05325,-0.927,0.82425,0.41875,-0.3025,0.77425,0.175,-0.625,1.022,0.03775,1.06575,0.2735,-1.006,-1.04175,-0.3215,-0.068,1.49425,-0.09675,0.08725,0.39975,0.5955,0.41825,0.23025,-0.19775,0.395,0.23325,0.39675,0.14725,-0.76025,0.56725,0.087,0.42525,0.11275,0.371,0.2685,-1.70925,0.58725,-1.32925,-0.83825,0.26875,-1.222,0.35475,-0.19925,-0.66075,-0.2135,-0.06125,0.91025,1.508,0.2015,-0.68575,1.22375,-1.03,1.48225,-0.9485,-1.0745,-1.4069999999999998,0.8195,-0.33975,0.89725,-0.7415,0.18875,-0.08225,0.39375,1.34975,-0.334,-0.12775,0.197,-0.8705,-0.87,-0.0555,-1.31425,-0.053,0.00175,-0.8435,-1.0285,0.106,-0.7845,-0.28275,-0.075,0.20125,-0.24275,-0.0045,-0.01575,0.39175,-0.02225,0.506,-0.3265,0.15175,-1.14625,0.30875,-0.3225,-0.7985,-0.07425,0.3665,-0.61125,-0.62275,0.09175,-0.17225,0.76675,-0.58925,0.0005,0.14125,0.2165,0.309,-1.09175,0.19025,-1.0105,-0.55825,-0.20925,-0.523,-0.68725,-1.00675,-0.0315,-0.3825,-0.6679999999999999,-0.6375,-0.38275,-1.23525,0.36175,-0.4365,-0.45025,0.23525,-1.0575,-0.085,-1.49775,0.2025,-0.2105,-0.6195,-0.063,-0.8395,-1.2245,0.17975
MMP2,-1.6740000000000002,1.150667,-1.157167,1.188,-0.830833,-0.043167,-0.769833,-0.218167,-1.7048330000000005,-1.333833,-0.315333,-0.672333,0.833167,1.046667,-0.606833,-0.3405,0.750167,-0.263167,0.874833,-0.542167,-0.386,-1.441333,1.147667,-2.496667,-0.330333,-1.527333,-0.2465,-0.108333,-0.7265,-0.283167,-0.3555,0.756833,-0.147,-1.599,-0.092167,0.563833,0.942333,-0.639667,-0.25666700000000003,0.122333,-1.571,-0.2525,-0.693667,0.611,0.047667,-0.1445,0.772167,0.169167,-1.390833,0.079333,0.0535,-0.306167,-0.800833,0.513667,-1.121833,-0.284833,0.138167,-0.381667,1.4295,-0.690667,-1.973167,-0.272,-1.63,-0.5331670000000001,-0.977,-1.911833,-0.740833,-1.7713330000000005,0.1655,-1.935333,-0.496167,-0.980333,-0.1165,-0.961,0.0425,-0.682167,0.5285,-0.3915,-0.515,-0.759167,-0.425667,-0.7895,0.026333,0.319333,0.561,0.333167,1.122167,-2.195667,-2.4185,-1.290167,-1.745667,0.001667,-0.162333,-0.306,0.348167,1.152667,-1.351667,0.756333,0.562667,0.86,0.818333,-1.439333,-0.138,2.0798330000000003,-0.459333,1.195167,-0.784,-0.6255,-1.258667,-1.7831669999999995,-1.03,-2.305667,1.026167,-1.390833,0.195,0.17800000000000002,0.592167,-0.571167,-1.9895,-1.583833,1.177667,-0.458833,0.14800000000000002,1.054333,-0.688,0.493833,-0.080167,0.753667,-1.472833,0.187833,-1.404667,0.981667,-0.964833,-0.531667,-1.020333,-1.8943330000000005,0.321667,-1.463167,-1.403333,-0.106333,-1.169,-0.136,-2.128,0.752,0.538833
C10orf90,-0.8490000000000001,0.03625,3.24275,-0.04025,-0.39975,-0.12325,-0.55875,-0.63075,0.56525,-0.65625,-0.144333,0.06125,0.24625,1.14475,0.64425,-0.27775,0.35275,-0.47375,-0.525,1.20975,0.8805,0.0385,3.6315,-0.83425,-0.23475,0.05825,-0.06175,-0.1435,-0.0025,0.3745,0.05825,-0.05775,0.22175,-0.20975,1.09875,-0.35600000000000004,-0.098,-0.336,0.68875,-0.1765,-0.29875,-0.40325,-0.16475,-0.3895,-0.32525,-0.271,-0.26325,0.25225,3.1395,-0.349,2.4165,0.31825,-0.7040000000000001,-0.345,0.0,3.314,-0.59725,-0.4015,0.013,-0.10775,1.16575,0.31225,0.15,-0.00275,0.21425,0.35600000000000004,3.6205,3.039,0.91225,-0.49975,0.11725,-0.63525,2.99725,-0.117,0.07775,-0.333,-0.7170000000000001,1.30575,0.72075,-0.401,-0.50025,-0.37925,0.37575,-0.147333,0.53,-2.08575,1.801,-2.30125,-0.127,0.23375,0.23125,0.04475,2.19825,-0.30175,0.066,1.06,0.16925,-0.11575,0.092,-0.41675,-0.15175,-0.079,-0.22825,-3.12075,0.96375,-0.519667,-0.29275,-0.09575,0.8045,-0.1425,-0.03125,-0.60075,1.6745,-0.3,2.37175,0.08425,-0.1225,1.72025,-0.585,2.986,-0.532,-0.12575,0.07225,1.21425,0.52775,-0.73575,-0.67425,0.0715,1.66725,-0.97775,-0.9655,-0.45925,2.43825,0.76325,0.0055,0.50825,0.02025,2.825,-0.6075,3.47975,0.11875,3.095,4.01375,2.31275,-0.0465
ZHX3,-1.1125,0.278833,-0.034833,-0.384333,-0.137667,-0.252,0.076833,-0.149167,0.364333,-0.114667,0.540167,-0.840167,-0.407167,-1.131,0.03,-0.851333,0.025833,0.626667,-0.077667,-1.015167,-1.263,0.8765,-0.218667,0.238,-0.097333,-0.198833,-0.132167,-0.0665,0.240833,-0.741333,-0.14766700000000002,0.424333,0.6591670000000001,0.192833,-0.853833,-0.454833,-0.177333,0.142833,0.184833,0.241167,1.396167,0.578667,-0.343667,0.447,-0.710833,-0.422,-0.373333,-0.1815,-0.579333,-0.083833,-0.212333,0.669833,-0.459667,-1.5185,-1.1935,0.121333,-0.099167,-0.184833,-0.481333,0.536833,0.3325,-0.538667,0.881333,-0.198833,0.323333,0.831833,0.815833,-1.159167,-0.6805,-0.401,0.076833,0.246667,-0.3475,-0.1455,-0.7785,-0.343,-0.6365,-0.041833,0.523667,-1.073,0.477167,-0.377667,-0.098,-0.700833,-0.738667,-0.542833,0.08683300000000001,0.400667,0.375833,0.151667,-0.245333,-0.7440000000000001,0.896667,0.703667,0.093333,-0.036333,0.387833,0.5770000000000001,0.538333,-0.014,0.0915,-1.1740000000000002,-0.157167,-0.0235,-0.442667,0.049667,0.255,0.259167,0.162167,-0.536667,0.321,-0.345667,-0.071167,0.180667,-0.360833,0.279167,0.183167,-0.07200000000000001,0.275,0.251,-0.027833,-1.269167,-0.439833,0.337167,-1.190333,-0.4575,-1.319667,0.3325,0.219,-0.189333,0.124667,0.3965,0.037833,-0.796833,0.3675,-0.0675,0.552667,-0.5311670000000001,1.382,0.3115,-0.2875,-0.002167,1.580667,0.273333,-0.512667
ERCC5,0.732,-0.23625,0.364,0.1325,-0.3605,-0.757,-0.0385,0.11425,-0.00175,-0.0555,0.44725,0.4825,-0.82025,0.373,-0.37375,0.18375,0.472,-0.484,-0.28025,-0.23625,0.28325,-0.74075,0.88925,-0.474,-0.71525,-0.2605,-1.57025,-0.33575,-0.7955,-0.08625,-0.9345,0.31925,0.3025,0.833,-0.6275,0.25275,-0.07675,0.85925,-0.17525,-0.87825,0.3475,-0.0855,-0.83775,-0.2365,-0.01825,0.13025,0.8235,0.24525,1.1265,-0.90075,0.41425,0.4595,0.227,0.52375,0.06275,0.828,0.34,0.4195,-0.04175,-0.67875,0.00275,-0.28875,-0.851,0.39,-0.333,-0.89825,-0.25725,0.12875,0.56075,-0.0585,-1.02175,-0.87975,1.1355,-0.355,0.52675,0.19775,-0.61625,0.3725,-0.7455,0.3735,-0.1645,-0.80375,-0.15875,0.25975,-0.22675,-0.1,-0.02375,0.22075,0.2745,0.2315,-0.36325,0.818,0.02925,-0.60125,-0.20625,-0.18275,-0.8,-0.32725,-0.13025,-0.39275,0.2235,0.70725,-0.19375,0.375,-0.49425,-0.64275,-0.5095,-0.03225,0.40725,-0.62475,-0.379,0.09825,-0.369,-0.31975,-0.79025,0.22075,0.08075,-0.47025,-0.3885,0.616,-0.86875,0.46425,-0.43775,0.02525,0.19975,-0.88475,-0.232,0.14800000000000002,0.34225,1.0815,-0.01425,-0.57725,-0.1195,0.146,0.23775,0.006,-0.162,0.97775,0.11725,0.4320000000000001,-0.3585,-0.6695,0.2155,-0.142,0.10075
GPR98,0.23375,0.311125,-0.016375,-1.958125,0.75075,-2.371893,-1.490583,-1.560875,0.2305,-0.585179,1.891375,-0.58675,1.30475,-0.51525,-1.256,1.204875,-1.066625,-0.014125,-0.13125,-1.495625,-0.92425,0.018679,-1.32525,0.14875,0.792625,1.221,-1.620893,-1.713625,1.560625,-0.377625,-2.329625,0.508125,-1.089,1.002,-1.218,0.12675,1.612375,0.326875,-0.12375,0.31725,0.47575,0.50675,-0.181083,-1.15375,1.2815,1.700125,0.758875,0.230375,-2.110625,0.69675,-0.62925,1.0590000000000002,-0.584625,-0.123,0.787375,-1.490875,1.605875,1.1225,0.586875,-1.889125,0.873875,-1.5319999999999998,-0.326893,-0.3605,0.7609999999999999,-2.58775,-1.321875,-0.845125,-1.594125,0.56225,-1.76575,-0.344375,-1.457,-2.105125,0.1125,-1.27975,0.781875,-0.51575,1.0415,0.008,-1.607625,-2.10925,-1.484,-1.760375,-1.035,-2.292179,-1.6330360000000002,-2.51275,-2.255625,-1.731,-1.363375,-1.59625,-0.625,1.216,0.77025,-1.480875,-0.086375,0.31375,0.269875,-2.166375,1.383875,-0.340125,-2.0115,-2.27455,0.22410700000000006,0.256,-0.5985,0.540875,-1.43825,-1.783893,0.15075,-0.22775,-0.7929999999999999,1.07475,-1.655,-0.20625,2.003,-1.6615,1.324,-0.4365,0.414821,-1.75825,0.4625,-1.30525,-1.51975,0.271625,-2.168607,-0.713375,-2.2135,1.402625,-1.182375,-1.690125,-0.75325,0.968125,0.809125,-1.188875,0.371,-1.817125,-1.12975,-1.972875,-1.17725,-1.911125,-2.062125,-0.762625,1.020125
RXFP3,-0.494,-0.263,0.6685,0.5015,0.0105,0.018000000000000002,0.023,0.3745,-0.067,-0.3065,-0.3375,0.1035,-0.0875,-0.4825,0.6295,0.0025,-0.954,0.1335,-0.308,0.0525,-0.0385,0.327,-0.267,-0.0415,0.5085,0.2215,0.6845,0.1165,0.452,-0.1335,0.032,-0.382,0.2355,0.066,0.0505,0.035,-0.084,-0.417,0.4525,0.311,0.081,-0.0525,-0.398,-0.0945,-0.071,-0.486,0.0915,0.1935,0.2375,0.275,0.568,0.067,0.0475,-0.0585,0.468,-0.2245,0.2595,0.359,0.175,0.2225,-0.1435,0.226,0.142,0.3125,-0.06,-0.5805,0.7559999999999999,-0.1755,-0.0065,0.1875,0.513,-0.203,0.1385,-0.0295,0.04,0.326,-0.3105,-0.5715,-0.3245,-0.119,0.2445,-0.467,-0.189,-0.1675,0.1535,0.184,-1.064,0.05,-0.1665,-0.369,0.116,-0.3515,0.056,-0.0785,0.121,-0.0165,0.1645,-0.429,-0.119,0.025,-0.168,-0.03,0.2215,-0.041,0.091,1.112,0.237,0.6415,0.583,-0.3735,-1.634,-0.4585,0.723,-0.1445,0.128,-0.1605,-0.2665,-0.0275,-0.1695,0.029,-0.7025,0.153,-0.073,-0.0445,-0.264,0.053,0.0975,0.18600000000000005,0.095,-0.341,0.014,-0.0905,0.068,-0.083,0.0065,0.214,-0.228,0.153,-0.1625,0.0295,0.833,0.3615,0.33,0.0085,-0.43
