sample_id	tissue
GTEX-13FTX-0326-SM-5J2NG	1
GTEX-WK11-0006-SM-3NB3J	4
GTEX-13OVL-0326-SM-5IJCS	3
GTEX-YEC3-0826-SM-4WWFP	2
GTEX-WFG8-2326-SM-5S2UE	3
GTEX-SJXC-0726-SM-2XCFJ	2
GTEX-RVPU-2426-SM-2XCAR	0
GTEX-13W46-0926-SM-5LU3T	2
GTEX-13JUV-0526-SM-5K7XE	1
GTEX-YF7O-2526-SM-5IFJX	0
GTEX-ZAB4-0005-SM-4RGM8	4
GTEX-13RTK-0326-SM-5RQHS	2
GTEX-132NY-1226-SM-5PNVF	1
GTEX-T5JC-0526-SM-32PM7	3
GTEX-WL46-0006-SM-4OOS5	4
GTEX-X5EB-0006-SM-46MV5	4
GTEX-131YS-0726-SM-5P9G9	2
GTEX-QESD-0626-SM-2I5G4	1
GTEX-P4PP-0226-SM-5S2VR	3
GTEX-14C38-0826-SM-5S2U8	2
GTEX-11I78-0005-SM-5N9GB	4
GTEX-13FTY-0626-SM-5L3F8	3
GTEX-1128S-2426-SM-5H11B	0
GTEX-ZV68-0226-SM-59HJF	3
GTEX-XPVG-2526-SM-4B66D	0
GTEX-YJ8O-2426-SM-5HL7S	3
GTEX-YFC4-1026-SM-5RQJM	0
GTEX-12WSG-0326-SM-5FQU3	1
GTEX-13O1R-0226-SM-5K7U5	3
GTEX-ZVT3-0526-SM-5GIE9	0
GTEX-WYBS-1126-SM-3NMAM	1
GTEX-146FH-0226-SM-5QGPQ	3
GTEX-145MI-1126-SM-5O9AK	2
GTEX-145MF-0526-SM-5LUA6	3
GTEX-13N2G-0726-SM-5MR38	2
GTEX-13YAN-1026-SM-5O9CF	1
GTEX-13RTJ-1126-SM-5S2UJ	1
GTEX-ZPIC-0005-SM-4WWEB	4
GTEX-1269C-0005-SM-5N9CJ	4
GTEX-ZVZO-0226-SM-5A5LA	3
GTEX-P44H-0326-SM-2XCES	3
GTEX-RM2N-0006-SM-2TF5H	4
GTEX-YFCO-0005-SM-4W1ZI	4
GTEX-ZVZO-0326-SM-5HL4N	0
GTEX-S4UY-0526-SM-3K2AN	0
GTEX-13CF3-0426-SM-5IJEU	1
GTEX-RUSQ-1026-SM-2TF6V	2
GTEX-117YX-1226-SM-5H11S	2
GTEX-ZQUD-1726-SM-51MRQ	0
GTEX-13OVL-0006-SM-5O996	4
GTEX-13NZB-2626-SM-5J2M7	0
GTEX-XMD2-0006-SM-4WWEG	4
GTEX-YFC4-0226-SM-57WD2	3
GTEX-WRHU-0826-SM-3MJFN	0
GTEX-Y5V5-0006-SM-4V6FE	4
GTEX-1445S-0626-SM-5LU3C	0
GTEX-12KS4-0426-SM-5EQMC	3
GTEX-1497J-0326-SM-5Q5CN	1
GTEX-ZF29-2226-SM-4WWB9	3
GTEX-13VXT-1426-SM-5LU4B	1
GTEX-131XW-0526-SM-5PNXZ	3
GTEX-12584-0826-SM-5FQSK	2
GTEX-PLZ5-0006-SM-5S2W5	4
GTEX-13S7M-0005-SM-5NQ76	4
GTEX-13O3Q-2326-SM-5KM3G	3
GTEX-13RTK-1626-SM-5QGQS	0
GTEX-OXRL-0005-SM-3LK6A	4
GTEX-146FQ-0926-SM-5LUAV	1
GTEX-ZG7Y-0006-SM-4WWEA	4
GTEX-Y8E4-0526-SM-4V6GC	1
GTEX-14AS3-0226-SM-5Q5B6	2
GTEX-WK11-0926-SM-3NMAU	2
GTEX-1269C-2726-SM-5EGJ4	3
GTEX-T5JW-1726-SM-3GADN	3
GTEX-U8XE-1426-SM-3DB8Q	1
GTEX-XGQ4-0426-SM-4AT4I	2
GTEX-U3ZM-0126-SM-3DB8M	2
GTEX-PWN1-0226-SM-5SI7O	3
GTEX-WZTO-0426-SM-3NM99	1
GTEX-ZQUD-0005-SM-4YCE5	4
GTEX-S7SF-0426-SM-3K2B7	1
GTEX-11O72-1326-SM-5BC5A	1
GTEX-13N2G-0826-SM-5IJE6	1
GTEX-QLQW-1226-SM-2S1Q9	3
GTEX-12ZZY-0626-SM-5EQ5T	0
GTEX-Y9LG-1926-SM-5IFHY	0
GTEX-YFCO-2026-SM-4W21Q	3
GTEX-144GO-1326-SM-5Q5EL	0
GTEX-WHWD-0005-SM-3LK7D	4
GTEX-ZAK1-0226-SM-5CVMX	3
GTEX-XMD2-1026-SM-4WWE8	1
GTEX-13OVH-0005-SM-5P9HB	4
GTEX-13O61-2326-SM-5J1NJ	0
GTEX-OIZH-0526-SM-2HMKV	1
GTEX-T6MO-0426-SM-32QOI	1
GTEX-ZAK1-0726-SM-5HL8Q	2
GTEX-1122O-2426-SM-5GIDN	0
GTEX-11DXY-0426-SM-5H12R	2
GTEX-139YR-1226-SM-5IFEU	2
GTEX-ZYW4-1126-SM-5SI99	2
GTEX-SUCS-1826-SM-32PM1	3
GTEX-UTHO-0006-SM-3NMCC	4
GTEX-OIZI-0626-SM-2XCEH	0
GTEX-S33H-1126-SM-2XCB6	3
GTEX-11EI6-0005-SM-5N9GN	4
GTEX-YF7O-0626-SM-4W21R	1
GTEX-12126-0006-SM-5O9B8	4
GTEX-S341-1626-SM-3K2B8	3
GTEX-ZT9X-1926-SM-57WE7	3
GTEX-U3ZG-0326-SM-47JXN	0
GTEX-PLZ6-1526-SM-2S1OC	0
GTEX-12WSB-0326-SM-5GCP4	0
GTEX-O5YW-0006-SM-3LK6E	4
GTEX-12WSC-0326-SM-5EQ5E	0
GTEX-YECK-0005-SM-4W217	4
GTEX-11ZTS-1126-SM-5LU9X	2
GTEX-11TUW-0526-SM-5LU9A	1
GTEX-XGQ4-0005-SM-4AT5U	4
GTEX-Y9LG-0426-SM-4VBRT	2
GTEX-ZVE2-0326-SM-57WFC	3
GTEX-14753-0526-SM-5QGPR	0
GTEX-SIU7-0006-SM-2XCE6	4
GTEX-O5YV-2026-SM-2D7VS	0
GTEX-T6MN-0626-SM-32PM9	2
GTEX-X4EO-0926-SM-3P5Z2	1
GTEX-U3ZG-0006-SM-47JWX	4
GTEX-14C39-2526-SM-5S2UH	3
GTEX-RN64-0326-SM-2TC5J	0
GTEX-14BIL-0226-SM-5SI9E	3
GTEX-QEL4-0826-SM-3GAF2	1
GTEX-XBEW-0126-SM-4AT66	2
GTEX-Y8E4-0726-SM-4WWFN	3
GTEX-T5JC-0626-SM-3NMA6	0
GTEX-ZAB5-0626-SM-5PNVB	1
GTEX-SJXC-0226-SM-2XCDU	3
GTEX-14E6E-0006-SM-5MR5N	4
GTEX-SNOS-1426-SM-32PLY	3
GTEX-12696-0326-SM-5EGL4	2
GTEX-12ZZW-0005-SM-5O9BY	4
GTEX-Z93S-1326-SM-5CVMR	0
GTEX-11ONC-2426-SM-5GU7H	0
GTEX-13113-0006-SM-5NQ7X	4
GTEX-OIZH-0226-SM-2YUMH	3
GTEX-13G51-1226-SM-5K7Z3	2
GTEX-S4Q7-0426-SM-3K2BJ	1
GTEX-148VI-1726-SM-5S2W9	3
GTEX-ZTX8-1526-SM-5N9GI	3
GTEX-X3Y1-0006-SM-3P5ZG	4
GTEX-11EQ9-2526-SM-5HL66	3
GTEX-YFC4-1126-SM-5RQJN	1
GTEX-13PLJ-0126-SM-5L3HU	3
GTEX-WFJO-0005-SM-3GIKY	4
GTEX-S7SF-0006-SM-3K2B6	4
GTEX-11WQC-2626-SM-5CVLF	0
GTEX-YF7O-0726-SM-4W213	2
GTEX-11TUW-2526-SM-5EQKN	0
GTEX-WCDI-0005-SM-3NB2M	4
GTEX-ZE7O-0226-SM-5S2N1	3
GTEX-11DXZ-0726-SM-5N9C4	1
GTEX-OOBK-0005-SM-2YUMG	4
GTEX-147F3-0726-SM-5NQ9U	1
GTEX-13OVI-1726-SM-5L3DW	0
GTEX-ZVP2-0005-SM-51MRK	4
GTEX-XYKS-0526-SM-4BRW2	1
GTEX-XUYS-0005-SM-47JZ2	4
GTEX-ZZPT-0626-SM-5GZXT	0
GTEX-RWSA-0226-SM-2XCBA	3
GTEX-PSDG-0726-SM-2I5FN	2
GTEX-13W46-0726-SM-5LU3Z	0
GTEX-11DXX-0005-SM-5NQ8B	4
GTEX-1313W-0226-SM-5LZV7	3
GTEX-Y5V5-0826-SM-4VBQD	1
GTEX-13O3Q-0626-SM-5IJG1	2
GTEX-X4XY-0006-SM-46MV2	4
GTEX-R55G-2426-SM-2TC5I	3
GTEX-YFC4-0006-SM-4RGLV	4
GTEX-1212Z-0426-SM-5FQT6	2
GTEX-P4QR-1026-SM-2I5GP	1
GTEX-SN8G-0006-SM-32PLD	4
GTEX-R55E-0006-SM-2TC5G	4
GTEX-T8EM-0226-SM-3DB7C	2
GTEX-P4QT-0226-SM-3LK68	3
GTEX-YB5K-2226-SM-4WWG1	3
GTEX-TKQ1-0006-SM-33HBI	4
GTEX-R55C-0005-SM-3GAE9	4
GTEX-139TU-0526-SM-5J2M8	0
GTEX-139T8-0226-SM-5L3EA	3
GTEX-QDVJ-1826-SM-2S1P3	3
GTEX-14E1K-0006-SM-5N9DY	4
GTEX-T6MN-0005-SM-32PLJ	4
GTEX-ZDTT-2626-SM-5S2OP	3
GTEX-1128S-0126-SM-5H12S	2
GTEX-UPJH-0006-SM-3GACW	4
GTEX-QLQ7-1726-SM-2S1QQ	0
GTEX-WWYW-0926-SM-3NB2Z	1
GTEX-13FHP-0526-SM-5K7UY	0
GTEX-WHPG-0226-SM-3NMB9	2
GTEX-11DZ1-0926-SM-5EQ5R	0
GTEX-POMQ-2326-SM-5S2VS	3
