"","V1","V2"
"1","ABL1","ALB"
"2","ABL1","BRD7"
"3","ABL1","BTG2"
"4","ABL1","CNBD1"
"5","ABL1","CTNND1"
"6","ABL1","ERBB4"
"7","ABL1","FOXA1"
"8","ABL1","GATA3"
"9","ABL1","GPS2"
"10","ABL1","JAK1"
"11","ABL1","LZTR1"
"12","ABL1","MLH1"
"13","ABL1","NUP93"
"14","ABL1","PIK3CB"
"15","ABL1","RET"
"16","ABL1","RUNX1"
"17","ABL1","TET2"
"18","ABL1","ZBTB7B"
"19","ABL1","ZMYM2"
"20","ACVR1","B2M"
"21","ACVR1","CD70"
"22","ACVR1","EGR3"
"23","ACVR1","FOXA2"
"24","ACVR1","FUBP1"
"25","ACVR1","H3F3A"
"26","ACVR1","HIST1H1E"
"27","ACVR1","IL6ST"
"28","ACVR1","IRF6"
"29","ACVR1","LATS2"
"30","ACVR1","RAF1"
"31","ACVR1","RARA"
"32","ACVR1","RNF43"
"33","ACVR1","TGFBR2"
"34","ACVR1B","ACVR2A"
"35","ACVR1B","ARAF"
"36","ACVR1B","BCL2"
"37","ACVR1B","BCL2L11"
"38","ACVR1B","CEBPA"
"39","ACVR1B","GNAQ"
"40","ACVR1B","H3F3C"
"41","ACVR1B","LEMD2"
"42","ACVR1B","MAPK1"
"43","ACVR1B","PTPN11"
"44","ACVR1B","TCF7L2"
"45","ACVR1B","UNCX"
"46","ACVR1B","ZCCHC12"
"47","ACVR2A","ARAF"
"48","ACVR2A","BCL2"
"49","ACVR2A","BCL2L11"
"50","ACVR2A","CEBPA"
"51","ACVR2A","GNAQ"
"52","ACVR2A","H3F3C"
"53","ACVR2A","LEMD2"
"54","ACVR2A","MAPK1"
"55","ACVR2A","PTPN11"
"56","ACVR2A","TCF7L2"
"57","ACVR2A","UNCX"
"58","ACVR2A","ZCCHC12"
"59","AJUBA","AR"
"60","AJUBA","CUL3"
"61","AJUBA","ESR1"
"62","AJUBA","HLA-B"
"63","AJUBA","IDH1"
"64","AJUBA","KDM5C"
"65","AJUBA","MYCN"
"66","AJUBA","PMS1"
"67","AJUBA","PPP2R1A"
"68","AJUBA","SMAD2"
"69","AJUBA","SMARCB1"
"70","AJUBA","U2AF1L4"
"71","AJUBA","WT1"
"72","AKT1","CHEK2"
"73","AKT1","CREB3L3"
"74","AKT1","FGFR1"
"75","AKT1","FLT3"
"76","AKT1","GABRA6"
"77","AKT1","IL7R"
"78","AKT1","IRF2"
"79","AKT1","JAK2"
"80","AKT1","NUP133"
"81","AKT1","PHF6"
"82","AKT1","PIK3R1"
