"","V1","V2"
"1","APOB","TP53"
"2","ARID1A","ATM"
"3","ARID1A","BRCA2"
"4","ARID1A","CREBBP"
"5","ARID1A","DMD"
"6","ARID1A","ELF3"
"7","ARID1A","EP300"
"8","ARID1A","ERBB2"
"9","ARID1A","ERBB3"
"10","ARID1A","ERCC2"
"11","ARID1A","FAT1"
"12","ARID1A","FBXW7"
"13","ARID1A","FGFR3"
"14","ARID1A","KDM6A"
"15","ARID1A","KMT2A"
"16","ARID1A","KMT2C"
"17","ARID1A","KMT2D"
"18","ARID1A","MACF1"
"19","ARID1A","MYH9"
"20","ARID1A","PIK3CA"
"21","ARID1A","RB1"
"22","ARID1A","SPTA1"
"23","ARID1A","SPTAN1"
"24","ARID1A","STAG2"
"25","ARID1A","TP53"
"26","ASXL2","TP53"
"27","ATM","TP53"
"28","BRCA2","TP53"
"29","CREBBP","TP53"
"30","DMD","TP53"
"31","ELF3","TP53"
"32","EP300","TP53"
"33","ERBB2","TP53"
"34","ERBB3","TP53"
"35","ERCC2","TP53"
"36","FAT1","TP53"
"37","FBXW7","TP53"
"38","FGFR3","KMT2D"
"39","FGFR3","TP53"
"40","HUWE1","TP53"
"41","KDM6A","KMT2A"
"42","KDM6A","KMT2C"
"43","KDM6A","KMT2D"
"44","KDM6A","MACF1"
"45","KDM6A","PIK3CA"
"46","KDM6A","RB1"
"47","KDM6A","SPTAN1"
"48","KDM6A","STAG2"
"49","KDM6A","TP53"
"50","KMT2A","TP53"
"51","KMT2C","KMT2D"
"52","KMT2C","MACF1"
"53","KMT2C","PIK3CA"
"54","KMT2C","TP53"
"55","KMT2D","KRAS"
"56","KMT2D","KRT222"
"57","KMT2D","LATS1"
"58","KMT2D","LATS2"
"59","KMT2D","LEMD2"
"60","KMT2D","LZTR1"
"61","KMT2D","MACF1"
"62","KMT2D","MAP2K1"
"63","KMT2D","MAP2K4"
"64","KMT2D","MAP3K1"
"65","KMT2D","MAP3K4"
"66","KMT2D","MAPK1"
"67","KMT2D","MAX"
"68","KMT2D","MECOM"
"69","KMT2D","MED12"
"70","KMT2D","MEN1"
"71","KMT2D","MET"
"72","KMT2D","MGA"
"73","KMT2D","MGMT"
"74","KMT2D","MLH1"
"75","KMT2D","MSH2"
"76","KMT2D","MSH3"
"77","KMT2D","MSH6"
"78","KMT2D","MTOR"
"79","KMT2D","MUC6"
"80","KMT2D","MYC"
"81","KMT2D","MYCN"
"82","KMT2D","MYD88"
"83","KMT2D","MYH9"
"84","KMT2D","NCOR1"
"85","KMT2D","NF1"
"86","KMT2D","NF2"
"87","KMT2D","NFE2L2"
"88","KMT2D","NIPBL"
"89","KMT2D","NOTCH1"
"90","KMT2D","NOTCH2"
"91","KMT2D","NPM1"
"92","KMT2D","NRAS"
"93","KMT2D","NSD1"
"94","KMT2D","NUP133"
"95","KMT2D","NUP93"
"96","KMT2D","PAX5"
"97","KMT2D","PBRM1"
"98","KMT2D","PCBP1"
"99","KMT2D","PDGFRA"
"100","KMT2D","PDS5B"
"101","KMT2D","PGR"
"102","KMT2D","PHF6"
"103","KMT2D","PIK3CA"
"104","KMT2D","PIK3CB"
"105","KMT2D","PIK3CG"
"106","KMT2D","PIK3R1"
"107","KMT2D","PIK3R2"
"108","KMT2D","PIM1"
"109","KMT2D","PLCB4"
"110","KMT2D","PLCG1"
"111","KMT2D","PLXNB2"
"112","KMT2D","PMS1"
"113","KMT2D","PMS2"
"114","KMT2D","POLE"
"115","KMT2D","POLQ"
"116","KMT2D","POLRMT"
"117","KMT2D","PPM1D"
"118","KMT2D","PPP2R1A"
"119","KMT2D","PPP6C"
"120","KMT2D","PRKAR1A"
"121","KMT2D","PSIP1"
"122","KMT2D","PTCH1"
"123","KMT2D","PTEN"
"124","KMT2D","PTPDC1"
"125","KMT2D","PTPN11"
"126","KMT2D","PTPRC"
"127","KMT2D","PTPRD"
"128","KMT2D","RAC1"
"129","KMT2D","RAD21"
"130","KMT2D","RAF1"
"131","KMT2D","RARA"
"132","KMT2D","RASA1"
"133","KMT2D","RB1"
"134","KMT2D","RBM10"
"135","KMT2D","RET"
"136","KMT2D","RFC1"
"137","KMT2D","RHEB"
"138","KMT2D","RHOA"
"139","KMT2D","RHOB"
"140","KMT2D","RIT1"
"141","KMT2D","RNF111"
"142","KMT2D","RNF43"
"143","KMT2D","RPL22L1"
"144","KMT2D","RPL5"
"145","KMT2D","RPS6KA3"
"146","KMT2D","RQCD1"
"147","KMT2D","RRAS2"
"148","KMT2D","RUNX1"
"149","KMT2D","RXRA"
"150","KMT2D","SCAF4"
"151","KMT2D","SETBP1"
"152","KMT2D","SETD2"
"153","KMT2D","SF1"
"154","KMT2D","SF3B1"
"155","KMT2D","SIN3A"
"156","KMT2D","SMAD2"
"157","KMT2D","SMAD4"
"158","KMT2D","SMARCA1"
"159","KMT2D","SMARCA4"
"160","KMT2D","SMARCB1"
"161","KMT2D","SMC1A"
"162","KMT2D","SMC3"
"163","KMT2D","SOS1"
"164","KMT2D","SOX17"
"165","KMT2D","SOX9"
"166","KMT2D","SPOP"
"167","KMT2D","SPTA1"
"168","KMT2D","SPTAN1"
"169","KMT2D","SRSF2"
"170","KMT2D","STAG2"
"171","KMT2D","STK11"
"172","KMT2D","TAF1"
"173","KMT2D","TBL1XR1"
"174","KMT2D","TBX3"
"175","KMT2D","TCEB1"
"176","KMT2D","TCF12"
"177","KMT2D","TCF7L2"
"178","KMT2D","TET2"
"179","KMT2D","TGFBR2"
"180","KMT2D","TGIF1"
"181","KMT2D","THRAP3"
"182","KMT2D","TLR4"
"183","KMT2D","TMSB4X"
"184","KMT2D","TNFAIP3"
"185","KMT2D","TP53"
"186","KMT2D","TRAF3"
"187","KMT2D","TSC1"
