"","V1","V2"
"1","ABL1","ALB"
"2","ABL1","BRD7"
"3","ABL1","BTG2"
"4","ABL1","CASP8"
"5","ABL1","CDKN1A"
"6","ABL1","CNBD1"
"7","ABL1","CSDE1"
"8","ABL1","CTNND1"
"9","ABL1","DACH1"
"10","ABL1","DDX3X"
"11","ABL1","EEF1A1"
"12","ABL1","ERBB4"
"13","ABL1","EZH2"
"14","ABL1","FOXA1"
"15","ABL1","GATA3"
"16","ABL1","GPS2"
"17","ABL1","JAK1"
"18","ABL1","KEAP1"
"19","ABL1","KEL"
"20","ABL1","KIT"
"21","ABL1","LZTR1"
"22","ABL1","MAP3K1"
"23","ABL1","MLH1"
"24","ABL1","MSH6"
"25","ABL1","NF2"
"26","ABL1","NUP93"
"27","ABL1","PCBP1"
"28","ABL1","PGR"
"29","ABL1","PIK3CB"
"30","ABL1","PLCB4"
"31","ABL1","POLRMT"
"32","ABL1","RASA1"
"33","ABL1","RET"
"34","ABL1","RUNX1"
"35","ABL1","SMARCA1"
"36","ABL1","SOX9"
"37","ABL1","TBX3"
"38","ABL1","TET2"
"39","ABL1","THRAP3"
"40","ABL1","TNFAIP3"
"41","ABL1","ZBTB7B"
"42","ABL1","ZC3H12A"
"43","ABL1","ZFP36L2"
"44","ABL1","ZMYM2"
"45","ABL1","ZNF133"
"46","ACVR1","AJUBA"
"47","ACVR1","AR"
"48","ACVR1","AXIN1"
"49","ACVR1","B2M"
"50","ACVR1","CD70"
"51","ACVR1","CDK4"
"52","ACVR1","CDKN1B"
"53","ACVR1","CDKN2C"
"54","ACVR1","CUL3"
"55","ACVR1","CYLD"
"56","ACVR1","CYSLTR2"
"57","ACVR1","DAZAP1"
"58","ACVR1","EGR3"
"59","ACVR1","ESR1"
"60","ACVR1","FOXA2"
"61","ACVR1","FUBP1"
"62","ACVR1","GNA11"
"63","ACVR1","H3F3A"
"64","ACVR1","HIST1H1E"
"65","ACVR1","HLA-A"
"66","ACVR1","HLA-B"
"67","ACVR1","IDH1"
"68","ACVR1","IDH2"
"69","ACVR1","IL6ST"
"70","ACVR1","IRF6"
"71","ACVR1","KDM5C"
"72","ACVR1","LATS2"
"73","ACVR1","MAP2K4"
"74","ACVR1","MEN1"
"75","ACVR1","MYC"
"76","ACVR1","MYCN"
"77","ACVR1","PMS1"
"78","ACVR1","PPM1D"
"79","ACVR1","PPP2R1A"
"80","ACVR1","PPP6C"
"81","ACVR1","PRKAR1A"
"82","ACVR1","RAC1"
"83","ACVR1","RAF1"
"84","ACVR1","RARA"
"85","ACVR1","RNF43"
